geoid,area in acres,jobs,jobs per acre,workers,workers per acre,jobs per worker,excess jobs
240054084001,2461.246991,35948,14.60560445,451,0.183240447,79.70731707,35497
240054081002,1999.951814,7245,3.622587278,302,0.151003638,23.99006623,6943
240054085052,654.1862086,5529,8.451722044,1041,1.591290043,5.311239193,4488
240054088001,405.728639,4009,9.880988461,597,1.471426817,6.715242881,3412
240054088002,320.1800902,2768,8.645134674,633,1.977012373,4.372827804,2135
240054902002,176.1988307,2338,13.26910054,535,3.036342511,4.370093458,1803
240054087042,783.1081382,2143,2.736531388,1114,1.422536615,1.923698384,1029
240054085031,176.2472633,1188,6.740530194,945,5.361785382,1.257142857,243
240054085032,339.6692744,1106,3.256108465,968,2.849830917,1.142561983,138
